time,location,name,rank
2015-02-23T02:17:22Z,Albuquerque,Shirley MacLaine,1
2015-02-23T02:17:22Z,Albuquerque,#FacetoFace,2
2015-02-23T02:17:22Z,Albuquerque,#TWDTogether,3
2015-02-23T02:17:18Z,Atlanta,#Oscars2015,1
2015-02-23T02:17:18Z,Atlanta,JK Simmons,2
2015-02-23T02:17:18Z,Atlanta,Neil Patrick Harris,3
2015-02-23T02:17:19Z,Austin,#Oscars2015,1
2015-02-23T02:17:19Z,Austin,Neil Patrick Harris,2
2015-02-23T02:17:19Z,Austin,JK Simmons,3
2015-02-23T02:17:18Z,Baltimore,#Oscars2015,1
2015-02-23T02:17:18Z,Baltimore,Neil Patrick Harris,2
2015-02-23T02:17:18Z,Baltimore,JK Simmons,3
2015-02-23T02:17:20Z,Baton Rouge,#Oscars2015,1
2015-02-23T02:17:20Z,Baton Rouge,Waffle House,2
2015-02-23T02:17:20Z,Baton Rouge,Jarell Martin,3
2015-02-23T02:20:41Z,Birmingham,#Oscars2015,1
2015-02-23T02:20:41Z,Birmingham,JK Simmons,2
2015-02-23T02:20:41Z,Birmingham,Adam Levine,3
2015-02-23T02:20:40Z,Boston,#Oscars2015,1
2015-02-23T02:20:40Z,Boston,Jack Black,2
2015-02-23T02:20:40Z,Boston,JK Simmons,3
2015-02-23T02:17:18Z,Charlotte,#Oscars2015,1
2015-02-23T02:17:18Z,Charlotte,#8morecampuses,2
2015-02-23T02:17:18Z,Charlotte,Neil Patrick Harris,3
2015-02-23T02:14:02Z,Chicago,#Oscars2015,1
2015-02-23T02:14:02Z,Chicago,Jack Black,2
2015-02-23T02:14:02Z,Chicago,Neil Patrick Harris,3
2015-02-23T02:20:41Z,Cincinnati,#Oscars2015,1
2015-02-23T02:20:41Z,Cincinnati,Neil Patrick Harris,2
2015-02-23T02:20:41Z,Cincinnati,JK Simmons,3
2015-02-23T02:17:19Z,Cleveland,#Oscars2015,1
2015-02-23T02:17:19Z,Cleveland,Neil Patrick Harris,2
2015-02-23T02:17:19Z,Cleveland,JK Simmons,3
2015-02-23T02:17:22Z,Colorado Springs,Shirley MacLaine,1
2015-02-23T02:17:22Z,Colorado Springs,#FacetoFace,2
2015-02-23T02:17:22Z,Colorado Springs,#TWDTogether,3
2015-02-23T02:17:19Z,Columbus,#Oscars2015,1
2015-02-23T02:17:19Z,Columbus,Neil Patrick Harris,2
2015-02-23T02:17:19Z,Columbus,JK Simmons,3
2015-02-23T02:17:18Z,Dallas-Ft. Worth,#Oscars2015,1
2015-02-23T02:17:18Z,Dallas-Ft. Worth,Neil Patrick Harris,2
2015-02-23T02:17:18Z,Dallas-Ft. Worth,JK Simmons,3
2015-02-23T02:17:18Z,Denver,#Oscars2015,1
2015-02-23T02:17:18Z,Denver,Neil Patrick Harris,2
2015-02-23T02:17:18Z,Denver,JK Simmons,3
2015-02-23T02:20:40Z,Detroit,#Oscars2015,1
2015-02-23T02:20:40Z,Detroit,JK Simmons,2
2015-02-23T02:20:40Z,Detroit,Neil Patrick Harris,3
2015-02-23T02:20:48Z,El Paso,#Oscars2015,1
2015-02-23T02:20:48Z,El Paso,Taking Back Sunday,2
2015-02-23T02:20:48Z,El Paso,UTSA,3
2015-02-23T02:17:18Z,Harrisburg,#Oscars2015,1
2015-02-23T02:17:18Z,Harrisburg,Neil Patrick Harris,2
2015-02-23T02:17:18Z,Harrisburg,Adam Levine,3
2015-02-23T02:17:19Z,Honolulu,UC Davis,1
2015-02-23T02:17:19Z,Honolulu,Oscars,2
2015-02-23T02:17:19Z,Honolulu,Sweet,3
2015-02-23T02:20:40Z,Houston,#Oscars2015,1
2015-02-23T02:20:40Z,Houston,Neil Patrick Harris,2
2015-02-23T02:20:40Z,Houston,JK Simmons,3
2015-02-23T02:17:19Z,Indianapolis,#Oscars2015,1
2015-02-23T02:17:19Z,Indianapolis,JK Simmons,2
2015-02-23T02:17:19Z,Indianapolis,Neil Patrick Harris,3
2015-02-23T02:20:44Z,Jackson,#Oscars2015,1
2015-02-23T02:20:44Z,Jackson,Waffle House,2
2015-02-23T02:20:44Z,Jackson,Walmart,3
2015-02-23T02:17:21Z,Jacksonville,#Oscars2015,1
2015-02-23T02:17:21Z,Jacksonville,Neil Patrick Harris,2
2015-02-23T02:17:21Z,Jacksonville,Adam Levine,3
2015-02-23T02:20:48Z,Kansas City,#Oscars2015,1
2015-02-23T02:20:48Z,Kansas City,Neil Patrick Harris,2
2015-02-23T02:20:48Z,Kansas City,Jack Black,3
2015-02-23T02:20:41Z,Las Vegas,#Oscars2015,1
2015-02-23T02:20:41Z,Las Vegas,JK Simmons,2
2015-02-23T02:20:41Z,Las Vegas,Neil Patrick Harris,3
2015-02-23T02:17:18Z,Los Angeles,#Oscars2015,1
2015-02-23T02:17:18Z,Los Angeles,JK Simmons,2
2015-02-23T02:17:18Z,Los Angeles,#FacetoFace,3
2015-02-23T02:17:19Z,Louisville,#Oscars2015,1
2015-02-23T02:17:19Z,Louisville,Neil Patrick Harris,2
2015-02-23T02:17:19Z,Louisville,JK Simmons,3
2015-02-23T02:17:19Z,Memphis,#Oscars2015,1
2015-02-23T02:17:19Z,Memphis,Adam Levine,2
2015-02-23T02:17:19Z,Memphis,The Oscars,3
2015-02-23T02:17:22Z,Mesa,Shirley MacLaine,1
2015-02-23T02:17:22Z,Mesa,#FacetoFace,2
2015-02-23T02:17:22Z,Mesa,#TWDTogether,3
2015-02-23T02:17:19Z,Miami,#Oscars2015,1
2015-02-23T02:17:19Z,Miami,Neil Patrick Harris,2
2015-02-23T02:17:19Z,Miami,JK Simmons,3
2015-02-23T02:17:19Z,Milwaukee,#Oscars2015,1
2015-02-23T02:17:19Z,Milwaukee,#UWMdragshow,2
2015-02-23T02:17:19Z,Milwaukee,Neil Patrick Harris,3
2015-02-23T02:17:18Z,Minneapolis,#Oscars2015,1
2015-02-23T02:17:18Z,Minneapolis,Neil Patrick Harris,2
2015-02-23T02:17:18Z,Minneapolis,JK Simmons,3
2015-02-23T02:17:19Z,Nashville,#Oscars2015,1
2015-02-23T02:17:19Z,Nashville,Neil Patrick Harris,2
2015-02-23T02:17:19Z,Nashville,#LHMomentum,3
2015-02-23T02:17:19Z,New Haven,#Oscars2015,1
2015-02-23T02:17:19Z,New Haven,Neil Patrick Harris,2
2015-02-23T02:17:19Z,New Haven,JK Simmons,3
2015-02-23T02:17:19Z,New Orleans,#Oscars2015,1
2015-02-23T02:17:19Z,New Orleans,JK Simmons,2
2015-02-23T02:17:19Z,New Orleans,#WWEFastLane,3
2015-02-23T02:17:18Z,New York,#Oscars2015,1
2015-02-23T02:17:18Z,New York,JK Simmons,2
2015-02-23T02:17:18Z,New York,#FaceToFace,3
2015-02-23T02:17:19Z,Norfolk,#Oscars2015,1
2015-02-23T02:17:19Z,Norfolk,Neil Patrick Harris,2
2015-02-23T02:17:19Z,Norfolk,Adam Levine,3
2015-02-23T02:20:48Z,Oklahoma City,#Oscars2015,1
2015-02-23T02:20:48Z,Oklahoma City,The Oscars,2
2015-02-23T02:20:48Z,Oklahoma City,JK Simmons,3
2015-02-23T02:17:22Z,Omaha,#Oscars2015,1
2015-02-23T02:17:22Z,Omaha,Neil Patrick Harris,2
2015-02-23T02:17:22Z,Omaha,JK Simmons,3
2015-02-23T02:17:19Z,Orlando,#Oscars2015,1
2015-02-23T02:17:19Z,Orlando,Neil Patrick Harris,2
2015-02-23T02:17:19Z,Orlando,#FullSailOscars,3
2015-02-23T02:17:18Z,Philadelphia,#Oscars2015,1
2015-02-23T02:17:18Z,Philadelphia,JK Simmons,2
2015-02-23T02:17:18Z,Philadelphia,#FaceToFace,3
2015-02-23T02:20:40Z,Phoenix,#Oscars2015,1
2015-02-23T02:20:40Z,Phoenix,JK Simmons,2
2015-02-23T02:20:40Z,Phoenix,Neil Patrick Harris,3
2015-02-23T02:20:41Z,Pittsburgh,#Oscars2015,1
2015-02-23T02:20:41Z,Pittsburgh,Neil Patrick Harris,2
2015-02-23T02:20:41Z,Pittsburgh,Jack Black,3
2015-02-23T02:17:19Z,Portland,#Oscars2015,1
2015-02-23T02:17:19Z,Portland,JK Simmons,2
2015-02-23T02:17:19Z,Portland,Neil Patrick Harris,3
2015-02-23T02:20:41Z,Providence,#Oscars2015,1
2015-02-23T02:20:41Z,Providence,Neil Patrick Harris,2
2015-02-23T02:20:41Z,Providence,JK Simmons,3
2015-02-23T02:17:19Z,Raleigh,#Oscars2015,1
2015-02-23T02:17:19Z,Raleigh,JK Simmons,2
2015-02-23T02:17:19Z,Raleigh,Reese Witherspoon,3
2015-02-23T02:17:19Z,Richmond,#Oscars2015,1
2015-02-23T02:17:19Z,Richmond,Adam Levine,2
2015-02-23T02:17:19Z,Richmond,JK Simmons,3
2015-02-23T02:20:40Z,Sacramento,#Oscars2015,1
2015-02-23T02:20:40Z,Sacramento,Neil Patrick Harris,2
2015-02-23T02:20:40Z,Sacramento,JK Simmons,3
2015-02-23T02:20:41Z,Salt Lake City,#Oscars2015,1
2015-02-23T02:20:41Z,Salt Lake City,Neil Patrick Harris,2
2015-02-23T02:20:41Z,Salt Lake City,JK Simmons,3
2015-02-23T02:17:18Z,San Antonio,#Oscars2015,1
2015-02-23T02:17:18Z,San Antonio,Neil Patrick Harris,2
2015-02-23T02:17:18Z,San Antonio,JK Simmons,3
2015-02-23T02:20:41Z,San Diego,#Oscars2015,1
2015-02-23T02:20:41Z,San Diego,Neil Patrick Harris,2
2015-02-23T02:20:41Z,San Diego,JK Simmons,3
2015-02-23T02:17:18Z,San Francisco,#Oscars2015,1
2015-02-23T02:17:18Z,San Francisco,JK Simmons,2
2015-02-23T02:17:18Z,San Francisco,#AskHerMore,3
2015-02-23T02:17:21Z,San Jose,Shirley MacLaine,1
2015-02-23T02:17:21Z,San Jose,#FacetoFace,2
2015-02-23T02:17:21Z,San Jose,#TWDTogether,3
2015-02-23T02:17:18Z,Seattle,#Oscars2015,1
2015-02-23T02:17:18Z,Seattle,Neil Patrick Harris,2
2015-02-23T02:17:18Z,Seattle,JK Simmons,3
2015-02-23T02:17:18Z,St. Louis,#Oscars2015,1
2015-02-23T02:17:18Z,St. Louis,Neil Patrick Harris,2
2015-02-23T02:17:18Z,St. Louis,JK Simmons,3
2015-02-23T02:20:44Z,Tallahassee,#FAMUPageant2k15,1
2015-02-23T02:20:44Z,Tallahassee,#Oscars2015,2
2015-02-23T02:20:44Z,Tallahassee,Tallahassee,3
2015-02-23T02:17:19Z,Tampa,#Oscars2015,1
2015-02-23T02:17:19Z,Tampa,JK Simmons,2
2015-02-23T02:17:19Z,Tampa,Neil Patrick Harris,3
2015-02-23T02:20:48Z,Tucson,The Lonely Island,1
2015-02-23T02:20:48Z,Tucson,#FacetoFace,2
2015-02-23T02:20:48Z,Tucson,Everything is Awesome,3
2015-02-23T02:17:22Z,Virginia Beach,Shirley MacLaine,1
2015-02-23T02:17:22Z,Virginia Beach,#FacetoFace,2
2015-02-23T02:17:22Z,Virginia Beach,#TWDTogether,3
2015-02-23T02:17:18Z,Washington,#Oscar2015,1
2015-02-23T02:17:18Z,Washington,JK Simmons,2
2015-02-23T02:17:18Z,Washington,Jack Black,3
