time,location,name,rank
2015-02-23T01:06:54Z,Albuquerque,#OscarsRedCarpet,1
2015-02-23T01:06:54Z,Albuquerque,#8morecampuses,2
2015-02-23T01:06:54Z,Albuquerque,#RedCarpetOscar,3
2015-02-23T01:06:49Z,Atlanta,#Oscars2015,1
2015-02-23T01:06:49Z,Atlanta,Zoe Saldana,2
2015-02-23T01:06:49Z,Atlanta,#AskHerMore,3
2015-02-23T01:03:13Z,Austin,#Oscars2015,1
2015-02-23T01:03:13Z,Austin,Dakota Johnson,2
2015-02-23T01:03:13Z,Austin,#Daytona500,3
2015-02-23T01:06:50Z,Baltimore,#Oscars2015,1
2015-02-23T01:06:50Z,Baltimore,Zoe Saldana,2
2015-02-23T01:06:50Z,Baltimore,#AskHerMore,3
2015-02-23T01:06:51Z,Baton Rouge,Waffle House,1
2015-02-23T01:06:51Z,Baton Rouge,Jarell Martin,2
2015-02-23T01:06:51Z,Baton Rouge,Walmart,3
2015-02-23T01:06:51Z,Birmingham,#Oscars2015,1
2015-02-23T01:06:51Z,Birmingham,#Daytona500,2
2015-02-23T01:06:51Z,Birmingham,Waffle House,3
2015-02-23T01:06:49Z,Boston,#Oscars2015,1
2015-02-23T01:06:49Z,Boston,#ERedCarpet,2
2015-02-23T01:06:49Z,Boston,#AskHerMore,3
2015-02-23T01:03:12Z,Charlotte,#Oscars2015,1
2015-02-23T01:03:12Z,Charlotte,#Daytona500,2
2015-02-23T01:03:12Z,Charlotte,Joey Logano,3
2015-02-23T01:06:49Z,Chicago,#OscarsRedCarpet,1
2015-02-23T01:06:49Z,Chicago,#AskHerMore,2
2015-02-23T01:06:49Z,Chicago,#ERedCarpet,3
2015-02-23T01:06:50Z,Cincinnati,#Oscars2015,1
2015-02-23T01:06:50Z,Cincinnati,#Daytona500,2
2015-02-23T01:06:50Z,Cincinnati,#ERedCarpet,3
2015-02-23T01:06:50Z,Cleveland,#Oscars2015,1
2015-02-23T01:06:50Z,Cleveland,#ERedCarpet,2
2015-02-23T01:06:50Z,Cleveland,Zoe Saldana,3
2015-02-23T01:06:54Z,Colorado Springs,#OscarsRedCarpet,1
2015-02-23T01:06:54Z,Colorado Springs,#8morecampuses,2
2015-02-23T01:06:54Z,Colorado Springs,#RedCarpetOscar,3
2015-02-23T01:06:50Z,Columbus,#Oscars2015,1
2015-02-23T01:06:50Z,Columbus,#Daytona500,2
2015-02-23T01:06:50Z,Columbus,Joey Logano,3
2015-02-23T01:06:49Z,Dallas-Ft. Worth,#Oscars2015,1
2015-02-23T01:06:49Z,Dallas-Ft. Worth,Eagle Alert,2
2015-02-23T01:06:49Z,Dallas-Ft. Worth,#ERedCarpet,3
2015-02-23T01:06:49Z,Denver,#Oscars2015,1
2015-02-23T01:06:49Z,Denver,#Daytona500,2
2015-02-23T01:06:49Z,Denver,#AskHerMore,3
2015-02-23T01:06:49Z,Detroit,#Oscars2015,1
2015-02-23T01:06:49Z,Detroit,#ERedCarpet,2
2015-02-23T01:06:49Z,Detroit,Zoe Saldana,3
2015-02-23T01:06:54Z,El Paso,Taking Back Sunday,1
2015-02-23T01:06:54Z,El Paso,Selena,2
2015-02-23T01:06:54Z,El Paso,UTEP,3
2015-02-23T01:06:50Z,Harrisburg,#Oscars2015,1
2015-02-23T01:06:50Z,Harrisburg,Thon,2
2015-02-23T01:06:50Z,Harrisburg,Tarzan,3
2015-02-23T01:06:51Z,Honolulu,UC Davis,1
2015-02-23T01:06:51Z,Honolulu,Walmart,2
2015-02-23T01:06:51Z,Honolulu,Sweet,3
2015-02-23T01:03:11Z,Houston,#Oscars2015,1
2015-02-23T01:03:11Z,Houston,#ERedCarpet,2
2015-02-23T01:03:11Z,Houston,Zoe Saldana,3
2015-02-23T01:06:50Z,Indianapolis,#Oscars2015,1
2015-02-23T01:06:50Z,Indianapolis,The Oscars,2
2015-02-23T01:06:50Z,Indianapolis,Rosamund Pike,3
2015-02-23T01:03:14Z,Jackson,Waffle House,1
2015-02-23T01:03:14Z,Jackson,Walmart,2
2015-02-23T01:03:14Z,Jackson,Thought,3
2015-02-23T01:06:53Z,Jacksonville,#Oscars2015,1
2015-02-23T01:06:53Z,Jacksonville,Winston,2
2015-02-23T01:06:53Z,Jacksonville,Waffle House,3
2015-02-23T01:03:18Z,Kansas City,#Oscars2015,1
2015-02-23T01:03:18Z,Kansas City,#Daytona500,2
2015-02-23T01:03:18Z,Kansas City,The Oscars,3
2015-02-23T01:06:50Z,Las Vegas,#Oscars2015,1
2015-02-23T01:06:50Z,Las Vegas,#Daytona500,2
2015-02-23T01:06:50Z,Las Vegas,#UFCPOA,3
2015-02-23T01:06:49Z,Los Angeles,#OscarsRedCarpet,1
2015-02-23T01:06:49Z,Los Angeles,#AskHerMore,2
2015-02-23T01:06:49Z,Los Angeles,Melanie Griffith,3
2015-02-23T01:03:12Z,Louisville,#Oscars2015,1
2015-02-23T01:03:12Z,Louisville,Chris Jones,2
2015-02-23T01:03:12Z,Louisville,Auburn,3
