time,location,name,rank
2015-02-23T06:31:37Z,Albuquerque,Sean Penn,1
2015-02-23T06:31:37Z,Albuquerque,#RBDFOREVER,2
2015-02-23T06:31:37Z,Albuquerque,#Oscars2015,3
2015-02-23T06:31:33Z,Atlanta,#Oscars2015,1
2015-02-23T06:31:33Z,Atlanta,Julie Andrews,2
2015-02-23T06:31:33Z,Atlanta,Sean Penn,3
2015-02-23T06:31:35Z,Austin,#Oscars2015,1
2015-02-23T06:31:35Z,Austin,Julie Andrews,2
2015-02-23T06:31:35Z,Austin,Sean Penn,3
2015-02-23T06:31:34Z,Baltimore,#Oscars2015,1
2015-02-23T06:31:34Z,Baltimore,Julie Andrews,2
2015-02-23T06:31:34Z,Baltimore,Lady Gaga,3
2015-02-23T06:37:19Z,Baton Rouge,#Oscars2015,1
2015-02-23T06:37:19Z,Baton Rouge,Lady Gaga,2
2015-02-23T06:37:19Z,Baton Rouge,Julie Andrews,3
2015-02-23T06:37:19Z,Birmingham,#Oscars2015,1
2015-02-23T06:37:19Z,Birmingham,Julie Andrews,2
2015-02-23T06:37:19Z,Birmingham,#WWEFastLane,3
2015-02-23T06:31:33Z,Boston,#Oscars2015,1
2015-02-23T06:31:33Z,Boston,Julie Andrews,2
2015-02-23T06:31:33Z,Boston,Sean Penn,3
2015-02-23T06:31:34Z,Charlotte,#Oscars2015,1
2015-02-23T06:31:34Z,Charlotte,Julie Andrews,2
2015-02-23T06:31:34Z,Charlotte,Lady Gaga,3
2015-02-23T06:31:33Z,Chicago,#Oscars2015,1
2015-02-23T06:31:33Z,Chicago,Julie Andrews,2
2015-02-23T06:31:33Z,Chicago,Sean Penn,3
2015-02-23T06:31:34Z,Cincinnati,#Oscars2015,1
2015-02-23T06:31:34Z,Cincinnati,Julie Andrews,2
2015-02-23T06:31:34Z,Cincinnati,Lady Gaga,3
2015-02-23T06:37:18Z,Cleveland,#Oscars2015,1
2015-02-23T06:37:18Z,Cleveland,Julie Andrews,2
2015-02-23T06:37:18Z,Cleveland,Eddie Redmayne,3
2015-02-23T06:31:37Z,Colorado Springs,Sean Penn,1
2015-02-23T06:31:37Z,Colorado Springs,#RBDFOREVER,2
2015-02-23T06:31:37Z,Colorado Springs,#Oscars2015,3
2015-02-23T06:31:34Z,Columbus,#Oscars,1
2015-02-23T06:31:34Z,Columbus,Julie Andrews,2
2015-02-23T06:31:34Z,Columbus,#WWEFastLane,3
2015-02-23T06:31:33Z,Dallas-Ft. Worth,#Oscars2015,1
2015-02-23T06:31:33Z,Dallas-Ft. Worth,Julie Andrews,2
2015-02-23T06:31:33Z,Dallas-Ft. Worth,Sean Penn,3
2015-02-23T06:31:33Z,Detroit,#Oscars2015,1
2015-02-23T06:31:33Z,Detroit,Julie Andrews,2
2015-02-23T06:31:33Z,Detroit,Eddie Redmayne,3
2015-02-23T06:31:37Z,El Paso,#Oscars2015,1
2015-02-23T06:31:37Z,El Paso,Lady Gaga,2
2015-02-23T06:31:37Z,El Paso,Julie Andrews,3
2015-02-23T06:31:34Z,Harrisburg,#Oscars2015,1
2015-02-23T06:31:34Z,Harrisburg,Julie Andrews,2
2015-02-23T06:31:34Z,Harrisburg,#WWEFastLane,3
2015-02-23T06:31:35Z,Honolulu,Oscars,1
2015-02-23T06:31:35Z,Honolulu,UC Davis,2
2015-02-23T06:31:35Z,Honolulu,Walmart,3
2015-02-23T06:31:33Z,Houston,#Oscars2015,1
2015-02-23T06:31:33Z,Houston,Julie Andrews,2
2015-02-23T06:31:33Z,Houston,Sean Penn,3
2015-02-23T06:31:34Z,Indianapolis,#Oscars2015,1
2015-02-23T06:31:34Z,Indianapolis,Julie Andrews,2
2015-02-23T06:31:34Z,Indianapolis,Lady Gaga,3
2015-02-23T06:31:35Z,Jackson,#Oscars2015,1
2015-02-23T06:31:35Z,Jackson,Lady Gaga,2
2015-02-23T06:31:35Z,Jackson,Julie Andrews,3
2015-02-23T06:31:37Z,Jacksonville,#Oscars2015,1
2015-02-23T06:31:37Z,Jacksonville,#WWEFastLane,2
2015-02-23T06:31:37Z,Jacksonville,Julie Andrews,3
2015-02-23T06:31:37Z,Kansas City,#Oscars2015,1
2015-02-23T06:31:37Z,Kansas City,Julie Andrews,2
2015-02-23T06:31:37Z,Kansas City,Lady Gaga,3
2015-02-23T06:31:34Z,Las Vegas,Julie Andrews,1
2015-02-23T06:31:34Z,Las Vegas,#Oscars,2
2015-02-23T06:31:34Z,Las Vegas,Sean Penn,3
2015-02-23T06:31:33Z,Los Angeles,Sean Penn,1
2015-02-23T06:31:33Z,Los Angeles,Julie Andrews,2
2015-02-23T06:31:33Z,Los Angeles,#Oscars2015,3
2015-02-23T06:31:34Z,Louisville,#Oscars2015,1
2015-02-23T06:31:34Z,Louisville,Julie Andrews,2
2015-02-23T06:31:34Z,Louisville,Chris Jones,3
2015-02-23T06:31:34Z,Memphis,#Oscars2015,1
2015-02-23T06:31:34Z,Memphis,Julie Andrews,2
2015-02-23T06:31:34Z,Memphis,Lady Gaga,3
2015-02-23T06:37:21Z,Mesa,Sean Penn,1
2015-02-23T06:37:21Z,Mesa,#RBDFOREVER,2
2015-02-23T06:37:21Z,Mesa,#Oscars2015,3
2015-02-23T06:37:18Z,Miami,#Oscars2015,1
2015-02-23T06:37:18Z,Miami,Julie Andrews,2
2015-02-23T06:37:18Z,Miami,#Birdman,3
2015-02-23T06:37:19Z,Milwaukee,#Oscars2015,1
2015-02-23T06:37:19Z,Milwaukee,Julie Andrews,2
2015-02-23T06:37:19Z,Milwaukee,Neil Patrick Harris,3
2015-02-23T06:37:18Z,Minneapolis,#Oscars2015,1
2015-02-23T06:37:18Z,Minneapolis,Julie Andrews,2
2015-02-23T06:37:18Z,Minneapolis,Lady Gaga,3
2015-02-23T06:37:18Z,Nashville,#Oscars2015,1
2015-02-23T06:37:18Z,Nashville,Julie Andrews,2
2015-02-23T06:37:18Z,Nashville,Lady Gaga,3
2015-02-23T06:31:34Z,New Haven,#Oscars2015,1
2015-02-23T06:31:34Z,New Haven,Julie Andrews,2
2015-02-23T06:31:34Z,New Haven,Neil Patrick Harris,3
2015-02-23T06:31:35Z,New Orleans,#Oscars2015,1
2015-02-23T06:31:35Z,New Orleans,Julie Andrews,2
2015-02-23T06:31:35Z,New Orleans,#WWEFastLane,3
2015-02-23T06:31:33Z,New York,Sean Penn,1
2015-02-23T06:31:33Z,New York,#Oscar2015,2
2015-02-23T06:31:33Z,New York,Julie Andrews,3
2015-02-23T06:37:19Z,Norfolk,#Oscars2015,1
2015-02-23T06:37:19Z,Norfolk,Julie Andrews,2
2015-02-23T06:37:19Z,Norfolk,#WWEFastLane,3
2015-02-23T06:37:22Z,Oklahoma City,Julie Andrews,1
2015-02-23T06:37:22Z,Oklahoma City,Lady Gaga,2
2015-02-23T06:37:22Z,Oklahoma City,Oscars,3
2015-02-23T06:31:37Z,Omaha,#Oscars2015,1
2015-02-23T06:31:37Z,Omaha,Julie Andrews,2
2015-02-23T06:31:37Z,Omaha,Lady Gaga,3
2015-02-23T06:37:18Z,Orlando,#Oscars2015,1
2015-02-23T06:37:18Z,Orlando,Julie Andrews,2
2015-02-23T06:37:18Z,Orlando,Lady Gaga,3
2015-02-23T06:31:33Z,Philadelphia,Sean Penn,1
2015-02-23T06:31:33Z,Philadelphia,Julie Andrews,2
2015-02-23T06:31:33Z,Philadelphia,#Oscars2015,3
2015-02-23T06:31:33Z,Phoenix,#Oscars2015,1
2015-02-23T06:31:33Z,Phoenix,Julie Andrews,2
2015-02-23T06:31:33Z,Phoenix,Sean Penn,3
2015-02-23T06:31:34Z,Pittsburgh,#Oscars2015,1
2015-02-23T06:31:34Z,Pittsburgh,Julie Andrews,2
2015-02-23T06:31:34Z,Pittsburgh,Eddie Redmayne,3
2015-02-23T06:37:18Z,Portland,#Oscars2015,1
2015-02-23T06:37:18Z,Portland,Julie Andrews,2
2015-02-23T06:37:18Z,Portland,Patricia Arquette,3
2015-02-23T06:31:35Z,Providence,#Oscars2015,1
2015-02-23T06:31:35Z,Providence,Julie Andrews,2
2015-02-23T06:31:35Z,Providence,#WWEFastLane,3
2015-02-23T06:31:34Z,Raleigh,#Oscars2015,1
2015-02-23T06:31:34Z,Raleigh,Julie Andrews,2
2015-02-23T06:31:34Z,Raleigh,#Glory,3
2015-02-23T06:37:19Z,Richmond,#Oscars2015,1
2015-02-23T06:37:19Z,Richmond,Julie Andrews,2
2015-02-23T06:37:19Z,Richmond,#WWEFastLane,3
2015-02-23T06:31:33Z,Sacramento,#Oscars2015,1
2015-02-23T06:31:33Z,Sacramento,Julie Andrews,2
2015-02-23T06:31:33Z,Sacramento,Eddie Redmayne,3
2015-02-23T06:31:34Z,Salt Lake City,#Oscars2015,1
2015-02-23T06:31:34Z,Salt Lake City,Julie Andrews,2
2015-02-23T06:31:34Z,Salt Lake City,Lady Gaga,3
2015-02-23T06:31:34Z,San Antonio,#Oscars2015,1
2015-02-23T06:31:34Z,San Antonio,Julie Andrews,2
2015-02-23T06:31:34Z,San Antonio,#WWEFastLane,3
2015-02-23T06:37:18Z,San Diego,#Oscars2015,1
2015-02-23T06:37:18Z,San Diego,Julie Andrews,2
2015-02-23T06:37:18Z,San Diego,Sean Penn,3
2015-02-23T06:37:18Z,San Francisco,#Oscars2015,1
2015-02-23T06:37:18Z,San Francisco,Julie Andrews,2
2015-02-23T06:37:18Z,San Francisco,Sean Penn,3
2015-02-23T06:31:37Z,San Jose,Sean Penn,1
2015-02-23T06:31:37Z,San Jose,#RBDFOREVER,2
