time,location,name,rank
2015-02-23T03:09:17Z,Albuquerque,Visual Effects,1
2015-02-23T03:09:17Z,Albuquerque,Chloe Grace Moretz,2
2015-02-23T03:09:17Z,Albuquerque,#CenaVsRusev,3
2015-02-23T03:12:46Z,Atlanta,#Oscars2015,1
2015-02-23T03:12:46Z,Atlanta,Patricia Arquette,2
2015-02-23T03:12:46Z,Atlanta,Everything is Awesome,3
2015-02-23T03:12:47Z,Austin,#Oscars2015,1
2015-02-23T03:12:47Z,Austin,Patricia Arquette,2
2015-02-23T03:12:47Z,Austin,Neil Patrick Harris,3
2015-02-23T03:09:13Z,Baltimore,#Oscars2015,1
2015-02-23T03:09:13Z,Baltimore,Neil Patrick Harris,2
2015-02-23T03:09:13Z,Baltimore,Patricia Arquette,3
2015-02-23T03:09:14Z,Baton Rouge,#Oscars2015,1
2015-02-23T03:09:14Z,Baton Rouge,Patricia Arquette,2
2015-02-23T03:09:14Z,Baton Rouge,Tim McGraw,3
2015-02-23T03:09:14Z,Birmingham,#Oscars2015,1
2015-02-23T03:09:14Z,Birmingham,Patricia Arquette,2
2015-02-23T03:09:14Z,Birmingham,Adam Levine,3
2015-02-23T03:12:46Z,Boston,#Oscars2015,1
2015-02-23T03:12:46Z,Boston,#AcademyAwards,2
2015-02-23T03:12:46Z,Boston,#EverythingIsAwesome,3
2015-02-23T03:12:46Z,Charlotte,#Oscars2015,1
2015-02-23T03:12:46Z,Charlotte,#8morecampuses,2
2015-02-23T03:12:46Z,Charlotte,Neil Patrick Harris,3
2015-02-23T03:09:13Z,Chicago,Patricia Arquette,1
2015-02-23T03:09:13Z,Chicago,#Oscar2015,2
2015-02-23T03:09:13Z,Chicago,#EverythingIsAwesome,3
2015-02-23T03:12:47Z,Cincinnati,#Oscars2015,1
2015-02-23T03:12:47Z,Cincinnati,Patricia Arquette,2
2015-02-23T03:12:47Z,Cincinnati,Neil Patrick Harris,3
2015-02-23T03:09:13Z,Cleveland,#Oscars2015,1
2015-02-23T03:09:13Z,Cleveland,Patricia Arquette,2
2015-02-23T03:09:13Z,Cleveland,Neil Patrick Harris,3
2015-02-23T03:12:50Z,Colorado Springs,Feast,1
2015-02-23T03:12:50Z,Colorado Springs,#CenaVsRusev,2
2015-02-23T03:12:50Z,Colorado Springs,Anna Kendrick,3
2015-02-23T03:09:13Z,Columbus,#Oscars2015,1
2015-02-23T03:09:13Z,Columbus,Neil Patrick Harris,2
2015-02-23T03:09:13Z,Columbus,#EverythingIsAwesome,3
2015-02-23T03:09:13Z,Dallas-Ft. Worth,#Oscars2015,1
2015-02-23T03:09:13Z,Dallas-Ft. Worth,Everything is Awesome,2
2015-02-23T03:09:13Z,Dallas-Ft. Worth,Neil Patrick Harris,3
2015-02-23T03:09:13Z,Denver,#Oscars2015,1
2015-02-23T03:09:13Z,Denver,Patricia Arquette,2
2015-02-23T03:09:13Z,Denver,Neil Patrick Harris,3
2015-02-23T03:09:13Z,Detroit,Patricia Arquette,1
2015-02-23T03:09:13Z,Detroit,#Oscars2015,2
2015-02-23T03:09:13Z,Detroit,Jared Leto,3
2015-02-23T03:09:17Z,El Paso,#Oscars2015,1
2015-02-23T03:09:17Z,El Paso,Taking Back Sunday,2
2015-02-23T03:09:17Z,El Paso,Patricia Arquette,3
2015-02-23T03:09:13Z,Harrisburg,#Oscars2015,1
2015-02-23T03:09:13Z,Harrisburg,Neil Patrick Harris,2
2015-02-23T03:09:13Z,Harrisburg,Patricia Arquette,3
2015-02-23T03:12:47Z,Honolulu,Oscars,1
2015-02-23T03:12:47Z,Honolulu,UC Davis,2
2015-02-23T03:12:47Z,Honolulu,Walmart,3
2015-02-23T03:09:13Z,Houston,#Oscars2015,1
2015-02-23T03:09:13Z,Houston,Patricia Arquette,2
2015-02-23T03:09:13Z,Houston,Neil Patrick Harris,3
2015-02-23T03:09:13Z,Indianapolis,#Oscars2015,1
2015-02-23T03:09:13Z,Indianapolis,Neil Patrick Harris,2
2015-02-23T03:09:13Z,Indianapolis,JK Simmons,3
2015-02-23T03:09:14Z,Jackson,#Oscars2015,1
2015-02-23T03:09:14Z,Jackson,Tim McGraw,2
2015-02-23T03:09:14Z,Jackson,Waffle House,3
2015-02-23T03:12:49Z,Jacksonville,#Oscars2015,1
2015-02-23T03:12:49Z,Jacksonville,Neil Patrick Harris,2
2015-02-23T03:12:49Z,Jacksonville,#WWEFastLane,3
2015-02-23T03:12:49Z,Kansas City,#Oscars2015,1
2015-02-23T03:12:49Z,Kansas City,Patricia Arquette,2
2015-02-23T03:12:49Z,Kansas City,Neil Patrick Harris,3
2015-02-23T03:09:13Z,Las Vegas,#Oscars2015,1
2015-02-23T03:09:13Z,Las Vegas,Patricia Arquette,2
2015-02-23T03:09:13Z,Las Vegas,Neil Patrick Harris,3
2015-02-23T03:12:45Z,Los Angeles,Patricia Arquette,1
2015-02-23T03:12:45Z,Los Angeles,#EverythingIsAwesome,2
2015-02-23T03:12:45Z,Los Angeles,Meryl,3
2015-02-23T03:09:13Z,Louisville,#Oscars2015,1
2015-02-23T03:09:13Z,Louisville,Neil Patrick Harris,2
