time,location,name,rank
2015-02-22T22:05:02Z,Albuquerque,#NeverBeAloneMusicVideo,1
2015-02-22T22:05:02Z,Albuquerque,Logano,2
2015-02-22T22:05:02Z,Albuquerque,#TheTitleOfMySexTape,3
2015-02-22T22:04:55Z,Atlanta,#Daytona500,1
2015-02-22T22:04:55Z,Atlanta,Joey Logano,2
2015-02-22T22:04:55Z,Atlanta,Waffle House,3
2015-02-22T22:08:53Z,Austin,#LetsPlayLive,1
2015-02-22T22:08:53Z,Austin,#Daytona500,2
2015-02-22T22:08:53Z,Austin,SXSW,3
2015-02-22T22:04:55Z,Baltimore,#Daytona500,1
2015-02-22T22:04:55Z,Baltimore,#CapsFlyers,2
2015-02-22T22:04:55Z,Baltimore,Tarzan,3
2015-02-22T22:04:57Z,Baton Rouge,Waffle House,1
2015-02-22T22:04:57Z,Baton Rouge,Walmart,2
2015-02-22T22:04:57Z,Baton Rouge,Kanye,3
2015-02-22T22:04:56Z,Birmingham,The Tide,1
2015-02-22T22:04:56Z,Birmingham,#Daytona500,2
2015-02-22T22:04:56Z,Birmingham,Waffle House,3
2015-02-22T22:04:55Z,Boston,Carcillo,1
2015-02-22T22:04:55Z,Boston,#Daytona500,2
2015-02-22T22:04:55Z,Boston,#NeverBeAloneMusicVideo,3
2015-02-22T22:04:55Z,Charlotte,#Daytona500,1
2015-02-22T22:04:55Z,Charlotte,Joey Logano,2
2015-02-22T22:04:55Z,Charlotte,#NASCAR,3
2015-02-22T22:04:55Z,Chicago,#CHIvsBOS,1
2015-02-22T22:04:55Z,Chicago,#NeverBeAloneMusicVideo,2
2015-02-22T22:04:55Z,Chicago,#HockeyDayInAmerica,3
2015-02-22T22:04:56Z,Cincinnati,#Daytona500,1
2015-02-22T22:04:56Z,Cincinnati,Chris Jones,2
2015-02-22T22:04:56Z,Cincinnati,Tarzan,3
2015-02-22T22:04:55Z,Cleveland,Daytona 500,1
2015-02-22T22:04:55Z,Cleveland,Knicks,2
2015-02-22T22:04:55Z,Cleveland,Winter Jam,3
2015-02-22T22:05:01Z,Colorado Springs,#NeverBeAloneMusicVideo,1
2015-02-22T22:05:01Z,Colorado Springs,Logano,2
2015-02-22T22:05:01Z,Colorado Springs,#TheTitleOfMySexTape,3
2015-02-22T22:04:56Z,Columbus,#Daytona500,1
2015-02-22T22:04:56Z,Columbus,Amir Williams,2
2015-02-22T22:04:56Z,Columbus,Joey Logano,3
2015-02-22T22:04:55Z,Dallas-Ft. Worth,#Daytona500,1
2015-02-22T22:04:55Z,Dallas-Ft. Worth,Joey Logano,2
2015-02-22T22:04:55Z,Dallas-Ft. Worth,Isco,3
2015-02-22T22:04:55Z,Denver,#Daytona500,1
2015-02-22T22:04:55Z,Denver,#NASCAR,2
2015-02-22T22:04:55Z,Denver,#COwx,3
2015-02-22T22:04:55Z,Detroit,#BeatOhio,1
2015-02-22T22:04:55Z,Detroit,#Daytona500,2
2015-02-22T22:04:55Z,Detroit,#GoBlue,3
2015-02-22T22:08:57Z,El Paso,Taking Back Sunday,1
2015-02-22T22:08:57Z,El Paso,Walmart,2
2015-02-22T22:08:57Z,El Paso,Selena,3
2015-02-22T22:04:55Z,Harrisburg,Rinaldo,1
2015-02-22T22:04:55Z,Harrisburg,THON,2
2015-02-22T22:04:55Z,Harrisburg,#Daytona500,3
2015-02-22T22:08:53Z,Honolulu,UC Davis,1
2015-02-22T22:08:53Z,Honolulu,Worth It,2
2015-02-22T22:08:53Z,Honolulu,Walmart,3
2015-02-22T22:04:55Z,Houston,#Daytona500,1
2015-02-22T22:04:55Z,Houston,The Duff,2
2015-02-22T22:04:55Z,Houston,Sunday Funday,3
2015-02-22T22:04:55Z,Indianapolis,#Daytona500,1
2015-02-22T22:04:55Z,Indianapolis,Joey Logano,2
2015-02-22T22:04:55Z,Indianapolis,Xavier,3
2015-02-22T22:04:56Z,Jackson,Waffle House,1
2015-02-22T22:04:56Z,Jackson,The Duff,2
2015-02-22T22:04:56Z,Jackson,Scandal,3
2015-02-22T22:05:00Z,Jacksonville,Winston,1
2015-02-22T22:05:00Z,Jacksonville,The Duff,2
2015-02-22T22:05:00Z,Jacksonville,Wolfson,3
2015-02-22T22:08:56Z,Kansas City,#Daytona500,1
2015-02-22T22:08:56Z,Kansas City,Walmart,2
2015-02-22T22:08:56Z,Kansas City,State,3
2015-02-22T22:04:56Z,Las Vegas,#Daytona500,1
2015-02-22T22:04:56Z,Las Vegas,The Duff,2
2015-02-22T22:04:56Z,Las Vegas,#MayweatherPacquiao,3
2015-02-22T22:08:51Z,Los Angeles,#NeverBeAloneMusicVideo,1
2015-02-22T22:08:51Z,Los Angeles,#TheTitleOfMySexTape,2
2015-02-22T22:08:51Z,Los Angeles,Joey Logano,3
2015-02-22T22:04:56Z,Louisville,Chris Jones,1
2015-02-22T22:04:56Z,Louisville,Marcus Lee,2
2015-02-22T22:04:56Z,Louisville,Auburn,3
2015-02-22T22:04:56Z,Memphis,Wright State,1
2015-02-22T22:04:56Z,Memphis,Waffle House,2
2015-02-22T22:04:56Z,Memphis,#gotigersgo,3
2015-02-22T22:08:57Z,Mesa,#NeverBeAloneMusicVideo,1
2015-02-22T22:08:57Z,Mesa,Logano,2
2015-02-22T22:08:57Z,Mesa,#TheTitleOfMySexTape,3
2015-02-22T22:04:55Z,Miami,#Daytona500,1
2015-02-22T22:04:55Z,Miami,#HeatNation,2
2015-02-22T22:04:55Z,Miami,Bosh,3
2015-02-22T22:04:56Z,Milwaukee,#UWMdragshow,1
2015-02-22T22:04:56Z,Milwaukee,#Daytona500,2
2015-02-22T22:04:56Z,Milwaukee,Bucks,3
2015-02-22T22:04:55Z,Minneapolis,#MiracleOnIce,1
2015-02-22T22:04:55Z,Minneapolis,#Daytona500,2
2015-02-22T22:04:55Z,Minneapolis,#NeverBeAloneMusicVideo,3
2015-02-22T22:08:52Z,Nashville,#Daytona500,1
2015-02-22T22:08:52Z,Nashville,Waffle House,2
2015-02-22T22:08:52Z,Nashville,Walmart,3
2015-02-22T22:04:56Z,New Haven,Joey Logano,1
2015-02-22T22:04:56Z,New Haven,#Daytona500,2
2015-02-22T22:04:56Z,New Haven,#youngandcrazy,3
2015-02-22T22:04:56Z,New Orleans,Waffle House,1
2015-02-22T22:04:56Z,New Orleans,Walmart,2
2015-02-22T22:04:56Z,New Orleans,Troy,3
2015-02-22T22:04:55Z,New York,#NeverBeAloneMusicVideo,1
2015-02-22T22:04:55Z,New York,Joey Logano,2
2015-02-22T22:04:55Z,New York,#Daytona500,3
2015-02-22T22:08:52Z,Norfolk,#Daytona500,1
2015-02-22T22:08:52Z,Norfolk,Waffle House,2
2015-02-22T22:08:52Z,Norfolk,Walmart,3
2015-02-22T22:08:57Z,Oklahoma City,Thunder,1
2015-02-22T22:08:57Z,Oklahoma City,Tarzan,2
2015-02-22T22:08:57Z,Oklahoma City,Perk,3
2015-02-22T22:05:01Z,Omaha,Tim Miles,1
2015-02-22T22:05:01Z,Omaha,Winston,2
2015-02-22T22:05:01Z,Omaha,The Duff,3
2015-02-22T22:04:55Z,Orlando,#Daytona500,1
2015-02-22T22:04:55Z,Orlando,#NASCAR,2
2015-02-22T22:04:55Z,Orlando,Waffle House,3
2015-02-22T22:08:51Z,Philadelphia,#NeverBeAloneMusicVideo,1
2015-02-22T22:08:51Z,Philadelphia,Joey Logano,2
2015-02-22T22:08:51Z,Philadelphia,#TheTitleOfMySexTape,3
2015-02-22T22:08:51Z,Phoenix,#DbacksFanFest,1
2015-02-22T22:08:51Z,Phoenix,#Daytona500,2
2015-02-22T22:08:51Z,Phoenix,The Duff,3
2015-02-22T22:08:52Z,Pittsburgh,Jordan Staal,1
2015-02-22T22:08:52Z,Pittsburgh,#Daytona500,2
2015-02-22T22:08:52Z,Pittsburgh,Pens,3
2015-02-22T22:08:52Z,Portland,West Linn,1
2015-02-22T22:08:52Z,Portland,Toni,2
2015-02-22T22:08:52Z,Portland,Dillon Brooks,3
2015-02-22T22:08:53Z,Providence,The Duff,1
2015-02-22T22:08:53Z,Providence,#Daytona500,2
2015-02-22T22:08:53Z,Providence,Walmart,3
2015-02-22T22:04:56Z,Raleigh,#Daytona500,1
2015-02-22T22:04:56Z,Raleigh,Joey Logano,2
2015-02-22T22:04:56Z,Raleigh,Woody Durham,3
2015-02-22T22:04:56Z,Richmond,Richmond,1
2015-02-22T22:04:56Z,Richmond,Winston,2
2015-02-22T22:04:56Z,Richmond,#Daytona500,3
2015-02-22T22:08:51Z,Sacramento,#Daytona500,1
2015-02-22T22:08:51Z,Sacramento,The Duff,2
2015-02-22T22:08:51Z,Sacramento,Sharks,3
2015-02-22T22:04:56Z,Salt Lake City,#PORatUTA,1
2015-02-22T22:04:56Z,Salt Lake City,Utes,2
2015-02-22T22:04:56Z,Salt Lake City,The Oscars,3
2015-02-22T22:04:55Z,San Antonio,The Duff,1
2015-02-22T22:04:55Z,San Antonio,Spurs,2
2015-02-22T22:04:55Z,San Antonio,Selena,3
2015-02-22T22:04:55Z,San Diego,#Daytona500,1
2015-02-22T22:04:55Z,San Diego,The Oscars,2
2015-02-22T22:04:55Z,San Diego,Walmart,3
2015-02-22T22:04:55Z,San Francisco,#NeverBeAloneMusicVideo,1
2015-02-22T22:04:55Z,San Francisco,#Daytona500,2
2015-02-22T22:04:55Z,San Francisco,#IndvsSA,3
2015-02-22T22:05:00Z,San Jose,#NeverBeAloneMusicVideo,1
2015-02-22T22:05:00Z,San Jose,Logano,2
2015-02-22T22:05:00Z,San Jose,#TheTitleOfMySexTape,3
2015-02-22T22:08:51Z,Seattle,#Daytona500,1
2015-02-22T22:08:51Z,Seattle,Tacoma,2
2015-02-22T22:08:51Z,Seattle,Walmart,3
2015-02-22T22:04:55Z,St. Louis,#jacobhasacoolep,1
2015-02-22T22:04:55Z,St. Louis,#Daytona500,2
2015-02-22T22:04:55Z,St. Louis,St. Louis,3
2015-02-22T22:08:53Z,Tallahassee,Winston,1
2015-02-22T22:08:53Z,Tallahassee,Tallahassee,2
2015-02-22T22:08:53Z,Tallahassee,Tally,3
2015-02-22T22:08:52Z,Tampa,#Daytona500,1
2015-02-22T22:08:52Z,Tampa,#JACOBMERCHAF,2
2015-02-22T22:08:52Z,Tampa,Joey Logano,3
2015-02-22T22:08:56Z,Tucson,#NeverBeAloneMusicVideo,1
2015-02-22T22:08:56Z,Tucson,Logano,2
2015-02-22T22:08:56Z,Tucson,#TheTitleOfMySexTape,3
2015-02-22T22:05:01Z,Virginia Beach,#NeverBeAloneMusicVideo,1
2015-02-22T22:05:01Z,Virginia Beach,Logano,2
2015-02-22T22:05:01Z,Virginia Beach,#TheTitleOfMySexTape,3
2015-02-22T22:04:55Z,Washington,#Daytona500,1
2015-02-22T22:04:55Z,Washington,Rinaldo,2
2015-02-22T22:04:55Z,Washington,#CasparLeeLive,3
