time,location,name,rank
2015-02-23T00:05:20Z,Albuquerque,#OscarsRedCarpet,1
2015-02-23T00:05:20Z,Albuquerque,#HappyAnniversaryLarry,2
2015-02-23T00:05:20Z,Albuquerque,Naomi Watts,3
2015-02-23T00:05:14Z,Atlanta,#Oscars2015,1
2015-02-23T00:05:14Z,Atlanta,#Daytona500,2
2015-02-23T00:05:14Z,Atlanta,Joey Logano,3
2015-02-23T00:05:16Z,Austin,#Oscars2015,1
2015-02-23T00:05:16Z,Austin,#Daytona500,2
2015-02-23T00:05:16Z,Austin,The Oscars,3
2015-02-23T00:09:11Z,Baltimore,#Oscars2015,1
2015-02-23T00:09:11Z,Baltimore,#CapsFlyers,2
2015-02-23T00:09:11Z,Baltimore,Tarzan,3
2015-02-23T00:05:16Z,Baton Rouge,Waffle House,1
2015-02-23T00:05:16Z,Baton Rouge,Walmart,2
2015-02-23T00:05:16Z,Baton Rouge,Jarell Martin,3
2015-02-23T00:09:12Z,Birmingham,#Daytona500,1
2015-02-23T00:09:12Z,Birmingham,Waffle House,2
2015-02-23T00:09:12Z,Birmingham,#Oscars2015,3
2015-02-23T00:05:14Z,Boston,#Oscars2015,1
2015-02-23T00:05:14Z,Boston,#NashOnTheView,2
2015-02-23T00:05:14Z,Boston,Carcillo,3
2015-02-23T00:05:15Z,Charlotte,#Daytona500,1
2015-02-23T00:05:15Z,Charlotte,Joey Logano,2
2015-02-23T00:05:15Z,Charlotte,#NASCAR,3
2015-02-23T00:09:10Z,Chicago,#CHIvsBOS,1
2015-02-23T00:09:10Z,Chicago,#Oscars2015,2
2015-02-23T00:09:10Z,Chicago,#NashOnTheView,3
2015-02-23T00:09:12Z,Cincinnati,#Daytona500,1
2015-02-23T00:09:12Z,Cincinnati,The Oscars,2
2015-02-23T00:09:12Z,Cincinnati,#Oscars2015,3
2015-02-23T00:09:11Z,Cleveland,#Oscars2015,1
2015-02-23T00:09:11Z,Cleveland,#Daytona500,2
2015-02-23T00:09:11Z,Cleveland,#BetterThanTheKnicks,3
2015-02-23T00:05:20Z,Colorado Springs,#OscarsRedCarpet,1
2015-02-23T00:05:20Z,Colorado Springs,#HappyAnniversaryLarry,2
2015-02-23T00:05:20Z,Colorado Springs,Naomi Watts,3
2015-02-23T00:09:11Z,Columbus,#Daytona500,1
2015-02-23T00:09:11Z,Columbus,Joey Logano,2
