time,location,name,rank
2015-02-22T18:07:22Z,Albuquerque,#TheTitleOfMySexTape,1
2015-02-22T18:07:22Z,Albuquerque,#HappyAnniversaryLarry,2
2015-02-22T18:07:22Z,Albuquerque,#BieberEvolution,3
2015-02-22T18:03:24Z,Atlanta,Waffle House,1
2015-02-22T18:03:24Z,Atlanta,#Daytona500,2
2015-02-22T18:03:24Z,Atlanta,Vic Beasley,3
2015-02-22T18:07:13Z,Austin,#LetsPlayLive,1
2015-02-22T18:07:13Z,Austin,SXSW,2
2015-02-22T18:07:13Z,Austin,Spurs,3
2015-02-22T18:03:26Z,Baltimore,The Fault In Our Stars,1
2015-02-22T18:03:26Z,Baltimore,Towson,2
2015-02-22T18:03:26Z,Baltimore,Xbox,3
2015-02-22T18:07:14Z,Baton Rouge,Jarell Martin,1
2015-02-22T18:07:14Z,Baton Rouge,Waffle House,2
2015-02-22T18:07:14Z,Baton Rouge,Turnt,3
2015-02-22T18:07:13Z,Birmingham,#BamaHoops,1
2015-02-22T18:07:13Z,Birmingham,Tide,2
2015-02-22T18:07:13Z,Birmingham,Waffle House,3
2015-02-22T18:07:09Z,Boston,#JACOBMERCHAF,1
2015-02-22T18:07:09Z,Boston,#vote5sos,2
2015-02-22T18:07:09Z,Boston,#VoteFifthHarmony,3
2015-02-22T18:07:10Z,Charlotte,#Daytona500,1
2015-02-22T18:07:10Z,Charlotte,Kyle Busch,2
2015-02-22T18:07:10Z,Charlotte,SAFER,3
2015-02-22T18:07:09Z,Chicago,The Oscars,1
2015-02-22T18:07:09Z,Chicago,Turnt,2
2015-02-22T18:07:09Z,Chicago,Xbox,3
2015-02-22T18:07:12Z,Cincinnati,#HonestHour,1
2015-02-22T18:07:12Z,Cincinnati,Ellis,2
2015-02-22T18:07:12Z,Cincinnati,Votto,3
2015-02-22T18:07:11Z,Cleveland,#ConLife,1
2015-02-22T18:07:11Z,Cleveland,Kendrick Perkins,2
2015-02-22T18:07:11Z,Cleveland,Cavs,3
2015-02-22T18:03:40Z,Colorado Springs,#TheTitleOfMySexTape,1
2015-02-22T18:03:40Z,Colorado Springs,#HappyAnniversaryLarry,2
2015-02-22T18:03:40Z,Colorado Springs,#BieberEvolution,3
2015-02-22T18:07:11Z,Columbus,#JACOBMERCHAF,1
2015-02-22T18:07:11Z,Columbus,The Duff,2
2015-02-22T18:07:11Z,Columbus,#Daytona500,3
2015-02-22T18:07:09Z,Dallas-Ft. Worth,Texas Mardi Gras,1
2015-02-22T18:07:09Z,Dallas-Ft. Worth,Waffle House,2
2015-02-22T18:07:09Z,Dallas-Ft. Worth,Stars,3
2015-02-22T18:07:09Z,Denver,#cowx,1
2015-02-22T18:07:09Z,Denver,#NASCAR,2
2015-02-22T18:07:09Z,Denver,Xbox,3
2015-02-22T18:07:09Z,Detroit,U of M,1
2015-02-22T18:07:09Z,Detroit,#JACOBMERCHAF,2
2015-02-22T18:07:09Z,Detroit,Kindl,3
2015-02-22T18:07:22Z,El Paso,Selena,1
2015-02-22T18:07:22Z,El Paso,UTSA,2
2015-02-22T18:07:22Z,El Paso,Walmart,3
2015-02-22T18:07:10Z,Harrisburg,THON,1
2015-02-22T18:07:10Z,Harrisburg,Xbox,2
2015-02-22T18:07:10Z,Harrisburg,Skype,3
2015-02-22T18:07:13Z,Honolulu,UC Davis,1
2015-02-22T18:07:13Z,Honolulu,Walmart,2
2015-02-22T18:07:13Z,Honolulu,Skype,3
2015-02-22T18:03:25Z,Houston,Corey Brewer,1
2015-02-22T18:03:25Z,Houston,The Duff,2
2015-02-22T18:03:25Z,Houston,Waffle House,3
2015-02-22T18:07:11Z,Indianapolis,The Duff,1
2015-02-22T18:07:11Z,Indianapolis,Xavier,2
2015-02-22T18:07:11Z,Indianapolis,Xbox,3
2015-02-22T18:07:13Z,Jackson,Thought,1
2015-02-22T18:07:13Z,Jackson,The Duff,2
2015-02-22T18:07:13Z,Jackson,Scandal,3
