time,location,name,rank
2015-02-23T04:07:25Z,Albuquerque,John Legend and Common,1
2015-02-23T04:07:25Z,Albuquerque,Chris Pine,2
2015-02-23T04:07:25Z,Albuquerque,#RomanvsBryan,3
2015-02-23T04:07:20Z,Atlanta,#Oscars2015,1
2015-02-23T04:07:20Z,Atlanta,Patricia Arquette,2
2015-02-23T04:07:20Z,Atlanta,Neil Patrick Harris,3
2015-02-23T04:07:22Z,Austin,#Oscars2015,1
2015-02-23T04:07:22Z,Austin,Patricia Arquette,2
2015-02-23T04:07:22Z,Austin,Neil Patrick Harris,3
2015-02-23T04:07:21Z,Baltimore,#Oscars2015,1
2015-02-23T04:07:21Z,Baltimore,Neil Patrick Harris,2
2015-02-23T04:07:21Z,Baltimore,Patricia Arquette,3
2015-02-23T04:10:19Z,Baton Rouge,#Oscars2015,1
2015-02-23T04:10:19Z,Baton Rouge,Jarell Martin,2
2015-02-23T04:10:19Z,Baton Rouge,Patricia Arquette,3
2015-02-23T04:07:22Z,Birmingham,#Oscars2015,1
2015-02-23T04:07:22Z,Birmingham,Patricia Arquette,2
2015-02-23T04:07:22Z,Birmingham,#WWEFastLane,3
2015-02-23T04:10:18Z,Boston,#Oscars2015,1
2015-02-23T04:10:18Z,Boston,Patricia Arquette,2
2015-02-23T04:10:18Z,Boston,#AcademyAwards,3
2015-02-23T04:07:21Z,Charlotte,#Oscars2015,1
2015-02-23T04:07:21Z,Charlotte,Neil Patrick Harris,2
2015-02-23T04:07:21Z,Charlotte,#8morecampuses,3
2015-02-23T04:07:20Z,Chicago,#Oscars2015,1
2015-02-23T04:07:20Z,Chicago,Patricia Arquette,2
2015-02-23T04:07:20Z,Chicago,#RomanvsBryan,3
2015-02-23T04:07:21Z,Cincinnati,#Oscars2015,1
2015-02-23T04:07:21Z,Cincinnati,Patricia Arquette,2
2015-02-23T04:07:21Z,Cincinnati,Neil Patrick Harris,3
2015-02-23T04:07:21Z,Cleveland,Patricia Arquette,1
2015-02-23T04:07:21Z,Cleveland,Oscars,2
2015-02-23T04:07:21Z,Cleveland,Neil Patrick Harris,3
2015-02-23T04:07:25Z,Colorado Springs,John Legend and Common,1
2015-02-23T04:07:25Z,Colorado Springs,Chris Pine,2
2015-02-23T04:07:25Z,Colorado Springs,#RomanvsBryan,3
2015-02-23T04:07:21Z,Columbus,#Oscars2015,1
2015-02-23T04:07:21Z,Columbus,Neil Patrick Harris,2
