time,location,name,rank
2015-02-22T19:01:28Z,Albuquerque,#TheTitleOfMySexTape,1
2015-02-22T19:01:28Z,Albuquerque,#HockeyDayInAmerica,2
2015-02-22T19:01:28Z,Albuquerque,Rinaldo,3
2015-02-22T19:05:33Z,Atlanta,#Daytona500,1
2015-02-22T19:05:33Z,Atlanta,Vic Beasley,2
2015-02-22T19:05:33Z,Atlanta,Waffle House,3
2015-02-22T19:05:37Z,Austin,#LetsPlayLive,1
2015-02-22T19:05:37Z,Austin,SXSW,2
2015-02-22T19:05:37Z,Austin,Spurs,3
2015-02-22T19:05:35Z,Baltimore,#CapsFlyers,1
2015-02-22T19:05:35Z,Baltimore,Towson,2
2015-02-22T19:05:35Z,Baltimore,Xbox,3
2015-02-22T19:05:39Z,Baton Rouge,Jarell Martin,1
2015-02-22T19:05:39Z,Baton Rouge,Waffle House,2
2015-02-22T19:05:39Z,Baton Rouge,Walmart,3
2015-02-22T19:01:17Z,Birmingham,#BamaHoops,1
2015-02-22T19:01:17Z,Birmingham,Waffle House,2
2015-02-22T19:01:17Z,Birmingham,Tide,3
2015-02-22T19:05:33Z,Boston,#JACOBMERCHAF,1
2015-02-22T19:05:33Z,Boston,#Daytona500,2
2015-02-22T19:05:33Z,Boston,#vote5sos,3
2015-02-22T19:01:15Z,Charlotte,#Daytona500,1
2015-02-22T19:01:15Z,Charlotte,Kyle Busch,2
2015-02-22T19:01:15Z,Charlotte,SAFER,3
2015-02-22T19:09:52Z,Chicago,#Daytona500,1
2015-02-22T19:09:52Z,Chicago,#ryanbeattychicago,2
2015-02-22T19:09:52Z,Chicago,The Oscars,3
2015-02-22T19:05:37Z,Cincinnati,Votto,1
2015-02-22T19:05:37Z,Cincinnati,#Daytona500,2
2015-02-22T19:05:37Z,Cincinnati,Waffle House,3
2015-02-22T19:05:35Z,Cleveland,#conlife,1
2015-02-22T19:05:35Z,Cleveland,#BetterThanTheKnicks,2
2015-02-22T19:05:35Z,Cleveland,Kendrick Perkins,3
2015-02-22T19:05:48Z,Colorado Springs,#TheTitleOfMySexTape,1
2015-02-22T19:05:48Z,Colorado Springs,#BuyComeHomeToMeOniTunes,2
2015-02-22T19:05:48Z,Colorado Springs,#HappyAnniversaryLarry,3
2015-02-22T19:05:36Z,Columbus,#JACOBMERCHAF,1
2015-02-22T19:05:36Z,Columbus,Southampton,2
2015-02-22T19:05:36Z,Columbus,Amir Williams,3
2015-02-22T19:05:33Z,Dallas-Ft. Worth,#Daytona500,1
2015-02-22T19:05:33Z,Dallas-Ft. Worth,The Duff,2
2015-02-22T19:05:33Z,Dallas-Ft. Worth,Waffle House,3
2015-02-22T19:01:13Z,Denver,#cowx,1
2015-02-22T19:01:13Z,Denver,#NASCAR,2
2015-02-22T19:01:13Z,Denver,#Daytona500,3
2015-02-22T19:05:33Z,Detroit,#Daytona500,1
2015-02-22T19:05:33Z,Detroit,U of M,2
2015-02-22T19:05:33Z,Detroit,Kindl,3
2015-02-22T19:05:48Z,El Paso,Selena,1
2015-02-22T19:05:48Z,El Paso,Skype,2
2015-02-22T19:05:48Z,El Paso,Taking Back Sunday,3
2015-02-22T19:09:54Z,Harrisburg,Rinaldo,1
2015-02-22T19:09:54Z,Harrisburg,THON,2
2015-02-22T19:09:54Z,Harrisburg,Xbox,3
2015-02-22T19:05:38Z,Honolulu,UC Davis,1
2015-02-22T19:05:38Z,Honolulu,Worth It,2
2015-02-22T19:05:38Z,Honolulu,Walmart,3
2015-02-22T19:05:33Z,Houston,The Duff,1
2015-02-22T19:05:33Z,Houston,Waffle House,2
2015-02-22T19:05:33Z,Houston,Turnt,3
2015-02-22T19:01:16Z,Indianapolis,Winston,1
2015-02-22T19:01:16Z,Indianapolis,The Duff,2
2015-02-22T19:01:16Z,Indianapolis,#Daytona500,3
2015-02-22T19:05:38Z,Jackson,Scandal,1
2015-02-22T19:05:38Z,Jackson,Waffle House,2
2015-02-22T19:05:38Z,Jackson,The Duff,3
2015-02-22T19:05:47Z,Jacksonville,Winston,1
2015-02-22T19:05:47Z,Jacksonville,The Duff,2
2015-02-22T19:05:47Z,Jacksonville,#htgawm,3
2015-02-22T19:05:47Z,Kansas City,Winston,1
2015-02-22T19:05:47Z,Kansas City,#Daytona500,2
2015-02-22T19:05:47Z,Kansas City,Walmart,3
2015-02-22T19:05:36Z,Las Vegas,The Duff,1
2015-02-22T19:05:36Z,Las Vegas,#MayweatherPacquiao,2
2015-02-22T19:05:36Z,Las Vegas,Xbox,3
2015-02-22T19:05:32Z,Los Angeles,#TheTitleOfMySexTape,1
2015-02-22T19:05:32Z,Los Angeles,#Oscars2015,2
2015-02-22T19:05:32Z,Los Angeles,#Daytona500,3
2015-02-22T19:05:36Z,Louisville,Auburn,1
2015-02-22T19:05:36Z,Louisville,Harrell,2
2015-02-22T19:05:36Z,Louisville,Tony Delk,3
2015-02-22T19:05:36Z,Memphis,#BringIt,1
2015-02-22T19:05:36Z,Memphis,Waffle House,2
2015-02-22T19:05:36Z,Memphis,Turnt,3
2015-02-22T19:05:48Z,Mesa,#TheTitleOfMySexTape,1
2015-02-22T19:05:48Z,Mesa,#BuyComeHomeToMeOniTunes,2
2015-02-22T19:05:48Z,Mesa,#HappyAnniversaryLarry,3
2015-02-22T19:05:35Z,Miami,Pelicans,1
2015-02-22T19:05:35Z,Miami,Bosh,2
2015-02-22T19:05:35Z,Miami,#HeatNation,3
2015-02-22T19:05:37Z,Milwaukee,#UWMdragshow,1
2015-02-22T19:05:37Z,Milwaukee,#Daytona500,2
2015-02-22T19:05:37Z,Milwaukee,Bucks,3
2015-02-22T19:05:34Z,Minneapolis,#MiracleOnIce,1
2015-02-22T19:05:34Z,Minneapolis,#Daytona500,2
2015-02-22T19:05:34Z,Minneapolis,Travis Scott,3
2015-02-22T19:05:35Z,Nashville,#Daytona500,1
2015-02-22T19:05:35Z,Nashville,Waffle House,2
2015-02-22T19:05:35Z,Nashville,Walmart,3
2015-02-22T19:05:36Z,New Haven,#youngandcrazy,1
2015-02-22T19:05:36Z,New Haven,Winston,2
2015-02-22T19:05:36Z,New Haven,Walmart,3
2015-02-22T19:05:38Z,New Orleans,Waffle House,1
2015-02-22T19:05:38Z,New Orleans,Walmart,2
2015-02-22T19:05:38Z,New Orleans,Trap Queen,3
2015-02-22T19:05:33Z,New York,#JACOBMERCHAF,1
2015-02-22T19:05:33Z,New York,Rinaldo,2
2015-02-22T19:05:33Z,New York,#Daytona500,3
2015-02-22T19:05:36Z,Norfolk,#Daytona500,1
2015-02-22T19:05:36Z,Norfolk,Walmart,2
2015-02-22T19:05:36Z,Norfolk,Waffle House,3
2015-02-22T19:05:49Z,Oklahoma City,The Duff,1
2015-02-22T19:05:49Z,Oklahoma City,#ThunderUp,2
2015-02-22T19:05:49Z,Oklahoma City,Perk,3
2015-02-22T19:05:48Z,Omaha,Winston,1
2015-02-22T19:05:48Z,Omaha,The DUFF,2
2015-02-22T19:05:48Z,Omaha,State,3
2015-02-22T19:05:35Z,Orlando,#Daytona500,1
2015-02-22T19:05:35Z,Orlando,#NASCAR,2
2015-02-22T19:05:35Z,Orlando,Winston,3
2015-02-22T19:05:33Z,Philadelphia,Tom Wilson,1
2015-02-22T19:05:33Z,Philadelphia,Rinaldo,2
2015-02-22T19:05:33Z,Philadelphia,#TheTitleOfMySexTape,3
2015-02-22T19:05:33Z,Phoenix,The DUFF,1
2015-02-22T19:05:33Z,Phoenix,Walmart,2
2015-02-22T19:05:33Z,Phoenix,Tempe,3
2015-02-22T19:05:37Z,Pittsburgh,Staal,1
2015-02-22T19:05:37Z,Pittsburgh,Rinaldo,2
2015-02-22T19:05:37Z,Pittsburgh,Pens,3
2015-02-22T19:05:36Z,Portland,West Linn,1
2015-02-22T19:05:36Z,Portland,Toni,2
2015-02-22T19:05:36Z,Portland,The Duff,3
2015-02-22T19:05:38Z,Providence,#DonateToTrevor,1
2015-02-22T19:05:38Z,Providence,Bruins,2
2015-02-22T19:05:38Z,Providence,The Duff,3
2015-02-22T19:05:36Z,Raleigh,#Daytona500,1
2015-02-22T19:05:36Z,Raleigh,Waffle House,2
2015-02-22T19:05:36Z,Raleigh,The Fault in Our Stars,3
2015-02-22T19:05:38Z,Richmond,UMass,1
2015-02-22T19:05:38Z,Richmond,Richmond,2
